affiliation,model_size,type,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,THREAT,PROFANITY,ATTACK_ON_AUTHOR,ATTACK_ON_COMMENTER,INFLAMMATORY,LIKELY_TO_REJECT,SPAM,INCOHERENT,UNSUBSTANTIAL,SEXUALLY_EXPLICIT,OBSCENE
progressive,25,human,0.7510937,0.029626917,0.035589635,0.72868866,0.010343489,0.44475567,0.027402574,0.16148497,0.5266063,0.97106767,0.036802646,0.5856995,0.5631154,0.037981298,0.9692094
progressive,25,human,0.6863638,0.16960317,0.2774022,0.5130944,0.010705971,0.57236236,0.024957735,0.11335341,0.5803196,0.99162555,0.02332112,0.09371409,0.3190822,0.51986235,0.98813224
progressive,25,human,0.024142517,0.0012588501,0.0039402717,0.0114269,0.007068211,0.016103793,0.05609898,0.2987564,0.17070188,0.84656245,0.030464975,0.74897933,0.81241846,0.01374168,0.41793436
progressive,25,human,0.8403191,0.072789766,0.047706615,0.83943826,0.011638066,0.39409557,0.58647317,0.5664985,0.81418705,0.9215016,0.0024767055,0.5558041,0.751994,0.045216452,0.585443
progressive,25,model,0.7105462,0.040387187,0.2816105,0.71120167,0.010913103,0.39409557,0.08091999,0.22103392,0.90887594,0.9785962,0.010666724,0.2423999,0.57272124,0.039209563,0.585443
progressive,25,model,0.32128486,0.010757446,0.105836816,0.09563028,0.05042134,0.049177196,0.23809743,0.72761667,0.43975633,0.68910956,0.037833888,0.44095436,0.819384,0.03208358,0.081329964
progressive,25,model,0.032391842,0.0008535385,0.0050317086,0.015796926,0.006770459,0.0113727385,0.0781878,0.08099745,0.28886184,0.20608845,0.079945296,0.6564843,0.25850466,0.0040694247,0.06235595
progressive,25,model,0.25084448,0.004196167,0.02238941,0.18107465,0.008000307,0.058946952,0.2539307,0.70856524,0.634742,0.653939,0.014834597,0.6477903,0.8307522,0.011618502,0.027715202
progressive,25,model,0.4394682,0.023076924,0.4482637,0.46476576,0.023544617,0.22792831,0.0026531606,0.010016239,0.9279476,0.82174397,0.0036459446,0.36672327,0.19623709,0.034914486,0.14392151
progressive,25,model,0.57271194,0.08332442,0.28034934,0.40243408,0.030278467,0.541926,0.06413618,0.20658988,0.38929573,0.9980564,0.065026775,0.19763993,0.036433637,0.12667102,0.99369305
